Region,Central_Lat,Central_Long
East Kootenay,49.88946,-115.56941
Central Kootenay,49.838321,-117.354568
Kootenay Boundary,49.367009,-118.604378
Okanagan-Similkameen,49.391529,-120.135809
Fraser Valley,49.568487,-121.920621
Greater Vancouver,49.247077,-122.845176
Capital,48.49103,-123.582205
Cowichan Valley,48.804325,-123.894954
Nanaimo,49.178105,-123.973757
Alberni-Clayoquot,49.18447,-125.286582
Strathcona,50.773838,-125.108382
Comox Valley,49.705258,-125.17255
Powell River,49.856806,-124.525387
Sunshine Coast,49.832542,-123.731851
Squamish-Lillooet,50.48695,-122.984575
Thompson-Nicola,51.058245,-120.333933
Central Okanagan,49.921059,-119.344197
North Okanagan,50.3819,-118.7819
Columbia-Shuswap,51.3999,-118.0789
Cariboo,52.2247,-123.2403
Mount Waddington,51.1425,-126.2497
Central Coast,52.1966,-126.8877
Skeena-Queen Charlotte,53.8692,-132.669
Kitimat-Stikine,57.053,-130.4281
Bulkley-Nechako,54.729,-125.5087
Fraser-Fort George,54.0206,-121.651
Peace River,56.7806,-122.198
Stikine,59.128,-130.6488
Northern Rockies,58.9012,-123.16.07
