report_year,latitude,longitude,regional_district,total_co2_from_fossil_and_ch4_and_n2o_from_combined_industrial_process_and_stationary_combustion,total_ch4,total_n2o,total_stationary_combustion,total_fugitive,total_waste,total_emissions_tonnes_co2e,company,facility,primary_naics_code
2010-01-01,56.9561,-121.9156,Peace River,38143,11529.943,174.468,32860.317,6016.284,0,49847.411,Aitken Creek Gas Storage ULC,BC Linear Facilities Operation (LFO),211113 (Conventional Oil and Gas Extraction)
2010-01-01,56.175,-120.607,Peace River,17437.825,5264.473,139.717,17935.98,4133.389,0,22842.015,Alliance Pipeline Ltd.,Taylor Compressor Station,486210 (Pipeline Transportation of Natural Gas )
2010-01-01,,,Peace River,228.807,720.258,1.86,235.257,595.094,0,950.925,Alliance Pipeline Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)",211113 (Conventional Oil and Gas Extraction)
2010-01-01,59.46639,-122.37056,Northern Rockies,28408.942,4369.812,1256.864,29661.797,4373.822,0,34035.618,Apache Canada Ltd.,Horn River Drillings and Completions,211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Northern Rockies,12102.305,5622.309,104.439,12947.277,0,0,17829.053,Apache Canada Ltd.,Missile Facility,211113 (Conventional Oil and Gas Extraction)
2010-01-01,55.30625,-120.25937,Peace River,9875.049,467.242,398.66,9127.834,0,0,10740.951,Apache Canada Ltd.,Noel Drillings & Completions,211113 (Conventional Oil and Gas Extraction)
2010-01-01,55.48958,-120.66562,Peace River,9521.525,19536.342,66.34,8236.979,0,0,29124.207,Apache Canada Ltd.,Noel Production,211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Northern Rockies,23188.416,6431.011,197.501,24548.897,0,0,29816.927,Apache Canada Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)",211113 (Conventional Oil and Gas Extraction)
2010-01-01,55.885,-120.09,Peace River,9007.503,3134.838,44.33,8622.404,3091.104,0,12186.671,ARC Resources,Dawson Comp Stn 01-34,211113 (Conventional Oil and Gas Extraction)
2010-01-01,55.889,-120.085,Peace River,43103.121,3705.429,213.28,41214.753,3433.027,0,47021.83,ARC Resources,Dawson Sour Gas Plant 05-35,211113 (Conventional Oil and Gas Extraction)
2010-01-01,56.002,-120.444,Peace River,6767.171,3215.562,26.35,5081.837,3000.439,0,10009.083,ARC Resources,Parkland Gas Plant 03-09,211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Peace River,40269.794,42494.907,516.46,17200.854,11309.703,0,83281.161,ARC Resources,"BC Aggregated Facilities (E < 10,000 tCO2e each)",211113 (Conventional Oil and Gas Extraction)
2010-01-01,56.054,-120.74,Peace River,14571.941,1464.393,72.23,13986.962,1376.632,0,16108.564,Aux Sable Canada L.P.,Septimus Sweet Gas Plant 12-27,211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Peace River,0.117,142.044,0,0,142.161,0,142.161,Aux Sable Canada L.P.,"BC Aggregated Facilities (E < 10,000 tCO2e each)",211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Peace River,21195.734,2676.036,118.234,20572.847,2647.229,0,23990.005,Baytex Energy,"BC Aggregated Facilities (E < 10,000 tCO2e each)",211113 (Conventional Oil and Gas Extraction)
2010-01-01,53.863,-114.754,Peace River,11396.652,3417.62,56.42,10920.087,2313.843,0,14870.692,Bonavista Energy Corporation,Nig Creek A-94-B/94-H-4,211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Peace River,42969.013,19782.983,279.806,45656.995,5837.862,0,63031.801,Bonavista Energy Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)",211113 (Conventional Oil and Gas Extraction)
2010-01-01,,,Columbia-Shuswap,2.13,0.002,0.093,2.226,15520.66,0,15522.886,British Columbia Hydro and Power Authority,Mica Generating Station,221111 (Hydro-Electric Power Generation)
