"Location","Date","Depth","Elevation","Density","RD"
"ELK RIVER",2010-01-03,0,270,NA,"Central Kootenay"
"JOHANSON LAKE",2010-01-05,58,1480,18,"Kitimat-Stikine"
"TERRACE AIRPORT",2010-01-05,30,219,20,"Kitimat-Stikine"
"GRANITE MOUNTAIN",2010-01-26,46,1175,26,"Kootenay Boundary"
"DOWNIE SLIDE (LOWER)",2010-01-26,138,964,32,"Columbia-Shuswap"
"DOWNTOWN LAKE (UPPER)",2010-01-27,257,1884,37,"Squamish-Lillooet"
"BRIDGE GLACIER (LOWER)",2010-01-27,215,1393,24,"Squamish-Lillooet"
"WAHLEACH LAKE",2010-01-27,95,1395,34,"Fraser Valley"
"BEAVERFOOT",2010-01-27,52,1924,24,"Columbia-Shuswap"
"VERMONT CREEK",2010-01-27,103,1533,32,"Columbia-Shuswap"
"FERGUSON",2010-01-27,127,929,34,"Columbia-Shuswap"
"SUMALLO RIVER WEST",2010-01-27,24,801,30,"Fraser Valley"
"JOHANSON LAKE",2010-01-27,70,1480,21,"Kitimat-Stikine"
"FIELD",2010-01-28,32,1310,23,"East Kootenay"
"FERNIE EAST",2010-01-28,55,1213,30,"East Kootenay"
"NELSON",2010-01-28,63,952,30,"Central Kootenay"
"GRAYSTOKE LAKE",2010-01-28,80,1818,25,"Central Okanagan"
"CANOE RIVER",2010-01-29,40,866,28,"Fraser-Fort George"
"HUDSON BAY MTN.",2010-01-29,128,1452,27,"Bulkley-Nechako"
"BEAR PASS",2010-01-29,89,437,34,"Kitimat-Stikine"
"SKINS LAKE",2010-01-30,55,877,13,"Bulkley-Nechako"
"ANGLEMONT",2010-01-30,62,1168,31,"Columbia-Shuswap"
"KIDPRICE LAKE",2010-01-30,210,1415,34,"Bulkley-Nechako"
"MOUNT WELLS",2010-01-31,127,1489,29,"Bulkley-Nechako"
"NUTLI LAKE",2010-01-31,142,1502,31,"Bulkley-Nechako"
"PRINCE GEORGE AIRPORT",2010-02-01,42,684,25,"Fraser-Fort George"
"SINCLAIR PASS",2010-02-04,22,1374,17,"East Kootenay"
"DUNCAN LAKE NO. 2",2010-02-07,29,662,32,"Bulkley-Nechako"
"BEAVERFOOT",2010-02-23,52,1924,24,"Columbia-Shuswap"
"BURNS LAKE",2010-02-24,49,820,20,"Bulkley-Nechako"
"BLUE RIVER",2010-02-24,71,673,34,"Thompson-Nicola"
"TROUT CREEK (WEST)",2010-02-24,58,1430,34,"Okanagan-Similkameen"
"GRANITE MOUNTAIN",2010-02-25,54,1175,25,"Kootenay Boundary"
"TROUT CREEK",2010-02-25,61,1428,28,"Okanagan-Similkameen"
"SUMMERLAND RESERVOIR",2010-02-25,68,1304,26,"Okanagan-Similkameen"
"ISINTOK LAKE",2010-02-25,48,1651,24,"Okanagan-Similkameen"
"BRENDA MINE",2010-02-25,80,1453,32,"Central Okanagan"
"MACDONALD LAKE",2010-02-25,117,1742,30,"Central Okanagan"
"ISLAHT LAKE",2010-02-25,91,1492,25,"Central Okanagan"
"TUTIZZI LAKE",2010-02-25,73,1043,23,"Peace River"
"TSAYDAYCHI LAKE",2010-02-25,106,1173,27,"Bulkley-Nechako"
"PHILIP LAKE",2010-02-25,80,1013,25,"Thompson-Nicola"
"JOHANSON LAKE",2010-02-25,74,1480,23,"Kitimat-Stikine"
"TACHEK CREEK",2010-02-25,76,1133,24,"Bulkley-Nechako"
"TELEGRAPH CREEK",2010-02-25,34,490,18,"Kitimat-Stikine"
"MOUNT TIMOTHY",2010-02-26,92,1632,28,"Cariboo"
"FARRON",2010-02-26,76,1229,29,"Central Kootenay"
"SULLIVAN MINE",2010-02-26,60,1580,22,"East Kootenay"
"MISSEZULA MOUNTAIN",2010-02-26,54,1602,24,"Okanagan-Similkameen"
"EQUITY MINE",2010-02-26,111,1434,29,"Bulkley-Nechako"
"LU LAKE",2010-02-26,89,1296,27,"Bulkley-Nechako"
"PRINCE GEORGE AIRPORT",2010-02-27,36,684,30,"Fraser-Fort George"
"BIRD CREEK",2010-02-27,55,1196,21,"Bulkley-Nechako"
"MOUNT SWANNELL",2010-02-27,85,1596,28,"Bulkley-Nechako"
"SHOVELNOSE MOUNTAIN",2010-02-27,72,1456,27,"Thompson-Nicola"
"ANGLEMONT",2010-02-27,66,1168,30,"Columbia-Shuswap"
"BOULEAU LAKE",2010-02-27,91,1405,21,"North Okanagan"
"HAMILTON HILL",2010-02-27,61,1477,27,"Okanagan-Similkameen"
"PACIFIC LAKE",2010-02-28,141,756,35,"Fraser-Fort George"
"HEDRICK LAKE",2010-02-28,151,1113,34,"Fraser-Fort George"
"BROOKMERE",2010-02-28,46,994,24,"Thompson-Nicola"
"BIG CREEK",2010-02-28,15,1130,21,"Cariboo"
"DEADMAN RIVER",2010-02-28,27,1463,19,"Thompson-Nicola"
"GLACIER",2010-02-28,131,1249,36,"Columbia-Shuswap"
"MOUNT KOBAU",2010-02-28,105,1817,29,"Okanagan-Similkameen"
"KNOUFF LAKE",2010-03-01,27,1189,30,"Thompson-Nicola"
"HORSEFLY MOUNTAIN",2010-03-01,123,1612,32,"Cariboo"
"PUNTZI MOUNTAIN",2010-03-01,24,939,27,"Cariboo"
"FIELD",2010-03-01,34,1310,26,"East Kootenay"
"KIMBERLEY (UPPER) VOR",2010-03-01,95,2148,32,"Central Kootenay"
"CHAR CREEK",2010-03-01,114,1290,30,"Central Kootenay"
"MCCULLOCH",2010-03-01,46,1266,28,"Central Okanagan"
"PALISADE LAKE",2010-03-01,148,898,50,"Greater Vancouver"
"HANSARD",2010-03-02,41,622,31,"Fraser-Fort George"
"NAZKO",2010-03-03,29,1029,21,"Cariboo"
"VASEUX CREEK",2010-03-03,22,1403,27,"Okanagan-Similkameen"
"MCGILLIVRAY PASS",2010-03-04,162,1715,36,"Squamish-Lillooet"
"HIGHLAND VALLEY",2010-03-04,43,1457,20,"Thompson-Nicola"
"BRALORNE",2010-03-04,57,1382,29,"Squamish-Lillooet"
"TYAUGHTON CREEK (NORTH)",2010-03-04,151,1946,38,"Squamish-Lillooet"
"WAHLEACH LAKE",2010-03-05,100,1395,35,"Fraser Valley"
"SUMALLO RIVER WEST",2010-03-05,2,801,35,"Fraser Valley"
"CARMI",2010-03-06,35,1254,28,"Kootenay Boundary"
"FIELD",2010-03-25,26,1310,28,"East Kootenay"
"KICKING HORSE",2010-03-25,85,1648,30,"Columbia-Shuswap"
"NINGUNSAW PASS",2010-03-26,85,647,31,"Kitimat-Stikine"
"ISKUT",2010-03-26,29,931,21,"Kitimat-Stikine"
"ANGLEMONT",2010-03-27,62,1168,33,"Columbia-Shuswap"
"MOUNT ABBOT",2010-03-27,257,2031,41,"Columbia-Shuswap"
"FIDELITY MOUNTAIN",2010-03-27,250,1852,42,"Columbia-Shuswap"
"LIGHTNING LAKE",2010-03-27,74,1254,30,"Okanagan-Similkameen"
"LONGWORTH (UPPER)",2010-03-28,175,1693,40,"Fraser-Fort George"
"KNUDSEN LAKE",2010-03-28,173,1598,37,"Fraser-Fort George"
"SILVER STAR MOUNTAIN",2010-03-28,186,1834,36,"North Okanagan"
"ESPERON CR (UPPER)",2010-03-28,100,1634,30,"Central Okanagan"
"ESPERON CR (MIDDLE)",2010-03-28,81,1440,30,"Central Okanagan"
"PINE PASS",2010-03-28,258,1439,39,"Peace River"
"MORFEE MOUNTAIN",2010-03-28,164,1427,37,"Fraser-Fort George"
"MOUNT SHEBA",2010-03-28,187,1480,40,"Fraser-Fort George"
"MONKMAN CREEK",2010-03-28,143,1566,36,"Fraser-Fort George"
"ATLIN LAKE",2010-03-28,49,705,24,"Kitimat-Stikine"
"KAZA LAKE",2010-03-29,82,1247,27,"Kitimat-Stikine"
"DOME MOUNTAIN",2010-03-29,166,1766,35,"Fraser-Fort George"
"GRANITE MOUNTAIN",2010-03-29,39,1175,29,"Kootenay Boundary"
"GERMANSEN (UPPER)",2010-03-29,101,1489,31,"Bulkley-Nechako"
"FREDRICKSON LAKE",2010-03-29,70,1323,27,"Peace River"
"TRYGVE LAKE",2010-03-29,124,1409,28,"Peace River"
"JOHANSON LAKE",2010-03-29,89,1480,29,"Kitimat-Stikine"
"JADE CITY",2010-03-29,70,943,25,"Kitimat-Stikine"
"BIG WHITE MOUNTAIN",2010-03-30,132,1672,33,"Kootenay Boundary"
"MCBRIDE (UPPER)",2010-03-30,122,1590,33,"Fraser-Fort George"
